model,task,protocol,acc,macro_f1,mae,within1,exact,qwk
LogReg,detection,groupkfold,0.940080971659919,0.8168742586002372,,,,
LogReg,detection,loro,0.9587044534412955,0.8643514779518656,,,,
LogReg,severity,groupkfold,0.5798245614035088,0.5793731976434131,0.65,0.8298245614035088,0.5798245614035088,0.5211893369788106
LogReg,severity,loro,0.5859649122807018,0.5850735265307,0.6745614035087719,0.8184210526315789,0.5859649122807018,0.46939477303988997
LogReg,phase,groupkfold,0.6640350877192982,0.6636204025079885,,,,
LogReg,phase,loro,0.6771929824561403,0.6776276210386384,,,,
SVM-RBF,detection,groupkfold,0.9668016194331984,0.8765268027184343,,,,
SVM-RBF,detection,loro,0.9805668016194332,0.9233585701874146,,,,
SVM-RBF,severity,groupkfold,0.6087719298245614,0.6080899634184006,0.5833333333333334,0.8657894736842106,0.6087719298245614,0.5675770308123249
SVM-RBF,severity,loro,0.5964912280701754,0.5942467745755611,0.6710526315789473,0.8175438596491228,0.5964912280701754,0.44753521126760565
SVM-RBF,phase,groupkfold,0.6605263157894737,0.6619821136960207,,,,
SVM-RBF,phase,loro,0.6894736842105263,0.6893467971221642,,,,
KNN,detection,groupkfold,0.9554655870445344,0.8290683248570012,,,,
KNN,detection,loro,0.9692307692307692,0.883762978521043,,,,
KNN,severity,groupkfold,0.5798245614035088,0.5805760483946445,0.6517543859649123,0.8271929824561404,0.5798245614035088,0.5234056987788331
KNN,severity,loro,0.6175438596491228,0.6193283736923156,0.6535087719298246,0.8043859649122806,0.6175438596491228,0.47860054347826086
KNN,phase,groupkfold,0.6421052631578947,0.6437167605793191,,,,
KNN,phase,loro,0.6482456140350877,0.6478368593918851,,,,
MLP,detection,groupkfold,0.9619433198380567,0.8456418316087874,,,,
MLP,detection,loro,0.9708502024291498,0.8797077922077923,,,,
MLP,severity,groupkfold,0.6210526315789474,0.6213805929090941,0.5561403508771929,0.8657894736842106,0.6210526315789474,0.5916606757728253
MLP,severity,loro,0.5885964912280702,0.587000070486766,0.6657894736842105,0.8114035087719298,0.5885964912280702,0.45577485380116955
MLP,phase,groupkfold,0.6640350877192982,0.6651933324410743,,,,
MLP,phase,loro,0.6903508771929825,0.6910840932117527,,,,
RandomForest,detection,groupkfold,0.9805668016194332,0.9225025100401607,,,,
RandomForest,detection,loro,0.9862348178137652,0.9471665731376185,,,,
RandomForest,severity,groupkfold,0.6482456140350877,0.649209902603691,0.4964912280701754,0.9,0.6482456140350877,0.6415229885057472
RandomForest,severity,loro,0.6096491228070176,0.6105639462363948,0.6350877192982456,0.8289473684210527,0.6096491228070176,0.5024021962937543
RandomForest,phase,groupkfold,0.65,0.6502854185501219,,,,
RandomForest,phase,loro,0.718421052631579,0.7189751096246867,,,,
XGBoost,detection,groupkfold,0.9902834008097166,0.9657894736842105,,,,
XGBoost,detection,loro,0.9870445344129555,0.9552479481093616,,,,
XGBoost,severity,groupkfold,0.6657894736842105,0.6659446779108968,0.47017543859649125,0.9,0.6657894736842105,0.6709219858156028
XGBoost,severity,loro,0.606140350877193,0.6062560253993372,0.6333333333333333,0.8359649122807018,0.606140350877193,0.4950911640953717
XGBoost,phase,groupkfold,0.6359649122807017,0.6361449518880712,,,,
XGBoost,phase,loro,0.7070175438596491,0.7075931120461275,,,,
TabPFN-2.5,detection,groupkfold,0.9983805668016195,0.994242638969176,,,,
TabPFN-2.5,detection,loro,0.9878542510121457,0.9538748832866479,,,,
TabPFN-2.5,severity,groupkfold,0.75,0.7505545528117368,0.3412280701754386,0.9289473684210526,0.75,0.77295197740113
TabPFN-2.5,severity,loro,0.656140350877193,0.6565593554382326,0.5263157894736842,0.8640350877192983,0.656140350877193,0.6085136078157711
TabPFN-2.5,phase,groupkfold,0.6429824561403509,0.6435404019177492,,,,
TabPFN-2.5,phase,loro,0.7008771929824561,0.6973004966762034,,,,
xLSTM,detection,groupkfold,0.9198380566801619,0.7078641215136158,,,,
xLSTM,detection,loro,0.9068825910931174,0.699449157653492,,,,
xLSTM,severity,groupkfold,0.49122807017543857,0.48327998749218265,0.5464912280701755,0.9631578947368421,0.49122807017543857,0.7636303191489362
xLSTM,severity,loro,0.4807017543859649,0.4695491478252156,0.5657894736842105,0.9570175438596491,0.4807017543859649,0.7491738268341044
xLSTM,phase,groupkfold,0.6508771929824562,0.6510336866407808,,,,
xLSTM,phase,loro,0.6482456140350877,0.6476568990266144,,,,
