severity,load,phase,detected,onset_sample,delay_ms,prefault_false_alarm
0.3,NL,B,True,215500,1420.0,False
0.3,80,A,True,180000,0.0,False
0.3,NL,A,True,180000,0.0,False
0.3,NL,B,True,215500,1420.0,False
0.3,NL,B,True,215500,1420.0,False
0.5,20,B,True,180000,0.0,False
0.5,80,A,True,180000,0.0,False
0.5,20,A,True,180000,0.0,False
0.5,20,B,True,180000,0.0,False
0.5,20,B,True,180000,0.0,False
1.0,40,B,True,180000,0.0,False
1.0,80,A,True,180000,0.0,False
1.0,40,A,True,180000,0.0,False
1.0,40,B,True,180000,0.0,False
1.0,40,B,True,180000,0.0,False
2.0,60,B,True,180000,0.0,False
2.0,80,A,True,180000,0.0,False
2.0,60,A,True,180000,0.0,False
2.0,60,B,True,180000,0.0,False
2.0,60,B,True,180000,0.0,False
3.0,80,B,True,180000,0.0,False
3.0,80,A,True,180000,0.0,False
3.0,80,A,True,180000,0.0,False
3.0,80,B,True,180000,0.0,False
3.0,80,B,True,180000,0.0,False
4.0,100,B,True,180000,0.0,False
4.0,80,A,True,180000,0.0,False
4.0,100,A,True,180000,0.0,False
4.0,100,B,True,180000,0.0,False
4.0,100,B,True,180000,0.0,False
5.0,100,B,True,180000,0.0,False
5.0,80,A,True,180000,0.0,False
5.0,100,A,True,180000,0.0,False
5.0,100,B,True,180000,0.0,False
5.0,100,B,True,180000,0.0,False
