window_id,case_id,group_id,state,label,severity_pct,phase,load_label,load_pct,inception_s,variant,region,src_start,scale
0,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,67000,0.00476470123976469
1,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,71000,0.00476470123976469
2,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,75000,0.00476470123976469
3,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,79000,0.00476470123976469
4,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,83000,0.00476470123976469
5,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,87000,0.00476470123976469
6,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,91000,0.00476470123976469
7,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,95000,0.00476470123976469
8,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,99000,0.00476470123976469
9,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,103000,0.00476470123976469
10,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,107000,0.00476470123976469
11,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,111000,0.00476470123976469
12,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,115000,0.00476470123976469
13,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,119000,0.00476470123976469
14,Healthy_case_data_0_Loading,HLT_lNL,healthy,0,0.0,,NL,0,,,steady,123000,0.00476470123976469
15,Healthy_case_data_10_Loading,HLT_l10,healthy,0,0.0,,10,10,,,steady,101000,0.005632980726659298
16,Healthy_case_data_10_Loading,HLT_l10,healthy,0,0.0,,10,10,,,steady,105000,0.005632980726659298
17,Healthy_case_data_10_Loading,HLT_l10,healthy,0,0.0,,10,10,,,steady,109000,0.005632980726659298
18,Healthy_case_data_10_Loading,HLT_l10,healthy,0,0.0,,10,10,,,steady,113000,0.005632980726659298
19,Healthy_case_data_10_Loading,HLT_l10,healthy,0,0.0,,10,10,,,steady,117000,0.005632980726659298
20,Healthy_case_data_10_Loading,HLT_l10,healthy,0,0.0,,10,10,,,steady,121000,0.005632980726659298
21,Healthy_case_data_100_Loading,HLT_l100,healthy,0,0.0,,100,100,,,steady,101000,0.02817131020128727
22,Healthy_case_data_100_Loading,HLT_l100,healthy,0,0.0,,100,100,,,steady,105000,0.02817131020128727
23,Healthy_case_data_100_Loading,HLT_l100,healthy,0,0.0,,100,100,,,steady,109000,0.02817131020128727
24,Healthy_case_data_100_Loading,HLT_l100,healthy,0,0.0,,100,100,,,steady,113000,0.02817131020128727
25,Healthy_case_data_100_Loading,HLT_l100,healthy,0,0.0,,100,100,,,steady,117000,0.02817131020128727
26,Healthy_case_data_100_Loading,HLT_l100,healthy,0,0.0,,100,100,,,steady,121000,0.02817131020128727
27,Healthy_case_data_15_Loading,HLT_l15,healthy,0,0.0,,15,15,,,steady,101000,0.006532358471304178
28,Healthy_case_data_15_Loading,HLT_l15,healthy,0,0.0,,15,15,,,steady,105000,0.006532358471304178
29,Healthy_case_data_15_Loading,HLT_l15,healthy,0,0.0,,15,15,,,steady,109000,0.006532358471304178
30,Healthy_case_data_15_Loading,HLT_l15,healthy,0,0.0,,15,15,,,steady,113000,0.006532358471304178
31,Healthy_case_data_15_Loading,HLT_l15,healthy,0,0.0,,15,15,,,steady,117000,0.006532358471304178
32,Healthy_case_data_15_Loading,HLT_l15,healthy,0,0.0,,15,15,,,steady,121000,0.006532358471304178
33,Healthy_case_data_20_Loading,HLT_l20,healthy,0,0.0,,20,20,,,steady,101000,0.007596166804432869
34,Healthy_case_data_20_Loading,HLT_l20,healthy,0,0.0,,20,20,,,steady,105000,0.007596166804432869
35,Healthy_case_data_20_Loading,HLT_l20,healthy,0,0.0,,20,20,,,steady,109000,0.007596166804432869
36,Healthy_case_data_20_Loading,HLT_l20,healthy,0,0.0,,20,20,,,steady,113000,0.007596166804432869
37,Healthy_case_data_20_Loading,HLT_l20,healthy,0,0.0,,20,20,,,steady,117000,0.007596166804432869
