case_id,rel_dir,path_03,path_02,path_inf,path_infx,fs,n_intervals,n_rows,inception_s,variant,state,severity_pct,phase,load_pct,load_label,is_extra,group_id,motor_start,load_change,fault_start,fault_end,hreg_start,hreg_end,freg_start,freg_end
Healthy_case_data_0_Loading,Healthy case data\0% Loading,D:\Naveen\Healthy case data\0% Loading\NormalNLlaoding_03.out,D:\Naveen\Healthy case data\0% Loading\NormalNLlaoding_02.out,D:\Naveen\Healthy case data\0% Loading\NormalNLlaoding.inf,D:\Naveen\Healthy case data\0% Loading\NormalNLlaoding.infx,25000.0,125000,125001,,,healthy,0.0,,0,NL,False,HLT_lNL,50000,,,,67000,125001,,
Healthy_case_data_10_Loading,Healthy case data\10% Loading,D:\Naveen\Healthy case data\10% Loading\Normal10Plaoding_03.out,D:\Naveen\Healthy case data\10% Loading\Normal10Plaoding_02.out,D:\Naveen\Healthy case data\10% Loading\Normal10Plaoding.inf,D:\Naveen\Healthy case data\10% Loading\Normal10Plaoding.infx,25000.0,125000,125001,,,healthy,0.0,,10,10,False,HLT_l10,50000,100000.0,,,101000,125001,,
Healthy_case_data_100_Loading,Healthy case data\100% Loading,D:\Naveen\Healthy case data\100% Loading\Normal100Plaoding_03.out,D:\Naveen\Healthy case data\100% Loading\Normal100Plaoding_02.out,D:\Naveen\Healthy case data\100% Loading\Normal100Plaoding.inf,D:\Naveen\Healthy case data\100% Loading\Normal100Plaoding.infx,25000.0,125000,125001,,,healthy,0.0,,100,100,False,HLT_l100,50000,100000.0,,,101000,125001,,
Healthy_case_data_15_Loading,Healthy case data\15% Loading,D:\Naveen\Healthy case data\15% Loading\Normal15Plaoding_03.out,D:\Naveen\Healthy case data\15% Loading\Normal15Plaoding_02.out,D:\Naveen\Healthy case data\15% Loading\Normal15Plaoding.inf,D:\Naveen\Healthy case data\15% Loading\Normal15Plaoding.infx,25000.0,125000,125001,,,healthy,0.0,,15,15,False,HLT_l15,50000,100000.0,,,101000,125001,,
Healthy_case_data_20_Loading,Healthy case data\20% Loading,D:\Naveen\Healthy case data\20% Loading\Normal520Plaoding_03.out,D:\Naveen\Healthy case data\20% Loading\Normal520Plaoding_02.out,D:\Naveen\Healthy case data\20% Loading\Normal520Plaoding.inf,D:\Naveen\Healthy case data\20% Loading\Normal520Plaoding.infx,25000.0,125000,125001,,,healthy,0.0,,20,20,False,HLT_l20,50000,100000.0,,,101000,125001,,
Healthy_case_data_25_Loading,Healthy case data\25% Loading,D:\Naveen\Healthy case data\25% Loading\Normal525Plaoding_03.out,D:\Naveen\Healthy case data\25% Loading\Normal525Plaoding_02.out,D:\Naveen\Healthy case data\25% Loading\Normal525Plaoding.inf,D:\Naveen\Healthy case data\25% Loading\Normal525Plaoding.infx,25000.0,125000,125001,,,healthy,0.0,,25,25,False,HLT_l25,50000,100000.0,,,101000,125001,,
Healthy_case_data_30_Loading,Healthy case data\30% Loading,D:\Naveen\Healthy case data\30% Loading\Normal30Plaoding_03.out,D:\Naveen\Healthy case data\30% Loading\Normal30Plaoding_02.out,D:\Naveen\Healthy case data\30% Loading\Normal30Plaoding.inf,D:\Naveen\Healthy case data\30% Loading\Normal30Plaoding.infx,25000.0,125000,125001,,,healthy,0.0,,30,30,False,HLT_l30,50000,100000.0,,,101000,125001,,
Healthy_case_data_35_Loading,Healthy case data\35% Loading,D:\Naveen\Healthy case data\35% Loading\Normal35Plaoding_03.out,D:\Naveen\Healthy case data\35% Loading\Normal35Plaoding_02.out,D:\Naveen\Healthy case data\35% Loading\Normal35Plaoding.inf,D:\Naveen\Healthy case data\35% Loading\Normal35Plaoding.infx,25000.0,125000,125001,,,healthy,0.0,,35,35,False,HLT_l35,50000,100000.0,,,101000,125001,,
Healthy_case_data_40_Loading,Healthy case data\40% Loading,D:\Naveen\Healthy case data\40% Loading\Normal40Plaoding_03.out,D:\Naveen\Healthy case data\40% Loading\Normal40Plaoding_02.out,D:\Naveen\Healthy case data\40% Loading\Normal40Plaoding.inf,D:\Naveen\Healthy case data\40% Loading\Normal40Plaoding.infx,25000.0,125000,125001,,,healthy,0.0,,40,40,False,HLT_l40,50000,100000.0,,,101000,125001,,
Healthy_case_data_45_Loading,Healthy case data\45% Loading,D:\Naveen\Healthy case data\45% Loading\Normal45Plaoding_03.out,D:\Naveen\Healthy case data\45% Loading\Normal45Plaoding_02.out,D:\Naveen\Healthy case data\45% Loading\Normal45Plaoding.inf,D:\Naveen\Healthy case data\45% Loading\Normal45Plaoding.infx,25000.0,125000,125001,,,healthy,0.0,,45,45,False,HLT_l45,50000,100000.0,,,101000,125001,,
