task,model,precision,recall,f1,accuracy
detection,LogReg,0.973,0.9842,0.9781,0.9799
detection,SVM-RBF,0.9731,0.9843,0.9783,0.98
detection,KNN,0.9723,0.983,0.9773,0.9791
detection,MLP,0.9732,0.9846,0.9784,0.9802
detection,RandomForest,0.9727,0.9836,0.9777,0.9795
detection,XGBoost,0.9717,0.982,0.9765,0.9784
detection,TabPFN-2.5,0.9735,0.985,0.9788,0.9805
detection,xLSTM,,,0.9573,0.9604
severity,LogReg,0.881,0.8793,0.8795,0.8793
severity,SVM-RBF,0.8779,0.8739,0.8754,0.8739
severity,KNN,0.205,0.1781,0.1902,0.1781
severity,MLP,0.912,0.9114,0.9109,0.9114
severity,RandomForest,0.9369,0.9286,0.927,0.9286
severity,XGBoost,0.8333,0.8298,0.829,0.8298
severity,TabPFN-2.5,0.9816,0.9791,0.9792,0.9791
severity,xLSTM,,,0.4534,0.4547
phase,LogReg,0.971,0.9698,0.9699,0.9698
phase,SVM-RBF,0.984,0.9837,0.9837,0.9837
phase,KNN,0.9825,0.9824,0.9824,0.9824
phase,MLP,0.9574,0.956,0.956,0.956
phase,RandomForest,0.9673,0.965,0.9649,0.965
phase,XGBoost,0.9768,0.9759,0.9758,0.9759
phase,TabPFN-2.5,0.9695,0.9676,0.9676,0.9676
phase,xLSTM,,,0.9208,0.9205
